epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.99855,3.10255,0.05102,0.20408,3.07954,3.753e-05,3.753e-05,3.753e-05
2,10.6374,3.03401,0.07143,0.32653,2.88621,7.84456e-05,7.84456e-05,7.84456e-05
3,14.0775,2.91887,0.19388,0.5102,2.7851,0.000118536,0.000118536,0.000118536
4,17.4693,2.80183,0.39796,0.80612,2.57718,0.0001578,0.0001578,0.0001578
5,20.8301,2.61552,0.65306,0.97959,2.32573,0.000196239,0.000196239,0.000196239
6,24.249,2.42659,0.79592,0.9898,2.01133,0.000233852,0.000233852,0.000233852
7,27.6212,2.2188,0.86735,1,1.75438,0.000270639,0.000270639,0.000270639
8,30.9776,1.98987,0.94898,1,1.50839,0.000306601,0.000306601,0.000306601
9,34.5392,1.82415,0.95918,1,1.17069,0.000341737,0.000341737,0.000341737
10,38.2935,1.54196,0.97959,1,0.95622,0.000376047,0.000376047,0.000376047
11,41.8,1.29239,0.9898,1,0.73992,0.000375717,0.000375717,0.000375717
12,45.7176,1.18232,0.9898,1,0.54635,0.000371589,0.000371589,0.000371589
13,49.12,0.98977,0.9898,1,0.47343,0.00036746,0.00036746,0.00036746
14,52.5078,0.84559,0.9898,1,0.27574,0.000363332,0.000363332,0.000363332
15,55.9859,0.70845,0.9898,1,0.1704,0.000359204,0.000359204,0.000359204
16,59.5034,0.61656,0.9898,1,0.12823,0.000355076,0.000355076,0.000355076
17,63.2731,0.48676,0.9898,1,0.17403,0.000350947,0.000350947,0.000350947
18,67.2612,0.48394,1,1,0.10252,0.000346819,0.000346819,0.000346819
19,70.6697,0.41147,1,1,0.12272,0.000342691,0.000342691,0.000342691
20,74.0817,0.33128,1,1,0.03833,0.000338562,0.000338562,0.000338562
21,77.6656,0.29856,1,1,0.05379,0.000334434,0.000334434,0.000334434
22,80.9753,0.27,1,1,0.04443,0.000330306,0.000330306,0.000330306
23,84.3825,0.23257,1,1,0.02661,0.000326177,0.000326177,0.000326177
24,87.6494,0.25673,1,1,0.02102,0.000322049,0.000322049,0.000322049
25,90.9904,0.19032,1,1,0.01508,0.000317921,0.000317921,0.000317921
26,94.3086,0.17272,1,1,0.01327,0.000313792,0.000313792,0.000313792
27,97.6752,0.18333,1,1,0.01266,0.000309664,0.000309664,0.000309664
28,100.894,0.20512,1,1,0.01172,0.000305536,0.000305536,0.000305536
29,104.131,0.13936,1,1,0.01045,0.000301408,0.000301408,0.000301408
30,107.382,0.14715,1,1,0.00939,0.000297279,0.000297279,0.000297279
31,110.649,0.158,1,1,0.00785,0.000293151,0.000293151,0.000293151
32,113.879,0.12986,1,1,0.01095,0.000289023,0.000289023,0.000289023
33,117.071,0.0989,1,1,0.00614,0.000284894,0.000284894,0.000284894
34,120.316,0.14051,1,1,0.00492,0.000280766,0.000280766,0.000280766
35,123.53,0.10255,1,1,0.00511,0.000276638,0.000276638,0.000276638
36,126.766,0.11078,1,1,0.0059,0.000272509,0.000272509,0.000272509
37,130.008,0.08315,1,1,0.00439,0.000268381,0.000268381,0.000268381
38,133.238,0.10893,1,1,0.00395,0.000264253,0.000264253,0.000264253
39,136.432,0.14057,1,1,0.00543,0.000260125,0.000260125,0.000260125
40,139.7,0.06802,1,1,0.00386,0.000255996,0.000255996,0.000255996
41,142.96,0.0806,1,1,0.00356,0.000251868,0.000251868,0.000251868
42,146.164,0.08583,1,1,0.00437,0.00024774,0.00024774,0.00024774
43,149.339,0.07463,1,1,0.00301,0.000243611,0.000243611,0.000243611
44,152.586,0.05743,1,1,0.00495,0.000239483,0.000239483,0.000239483
45,155.822,0.07404,1,1,0.00313,0.000235355,0.000235355,0.000235355
46,159.027,0.05331,1,1,0.00322,0.000231226,0.000231226,0.000231226
47,162.223,0.07952,1,1,0.00534,0.000227098,0.000227098,0.000227098
48,165.444,0.06984,1,1,0.00254,0.00022297,0.00022297,0.00022297
49,168.633,0.0681,1,1,0.00245,0.000218842,0.000218842,0.000218842
50,171.834,0.10488,1,1,0.00303,0.000214713,0.000214713,0.000214713
51,175.103,0.08217,1,1,0.00205,0.000210585,0.000210585,0.000210585
52,178.354,0.09071,1,1,0.00157,0.000206457,0.000206457,0.000206457
53,181.621,0.09235,1,1,0.00298,0.000202328,0.000202328,0.000202328
54,184.903,0.07204,1,1,0.00209,0.0001982,0.0001982,0.0001982
55,188.1,0.0575,1,1,0.0019,0.000194072,0.000194072,0.000194072
56,191.301,0.0903,1,1,0.00238,0.000189943,0.000189943,0.000189943
57,194.497,0.05708,1,1,0.00184,0.000185815,0.000185815,0.000185815
58,197.688,0.06064,1,1,0.00232,0.000181687,0.000181687,0.000181687
59,200.879,0.06817,1,1,0.00179,0.000177559,0.000177559,0.000177559
60,204.087,0.04807,1,1,0.00172,0.00017343,0.00017343,0.00017343
61,207.264,0.06834,1,1,0.00257,0.000169302,0.000169302,0.000169302
62,210.541,0.04879,1,1,0.00137,0.000165174,0.000165174,0.000165174
63,213.72,0.0375,1,1,0.0019,0.000161045,0.000161045,0.000161045
64,216.949,0.05122,1,1,0.0015,0.000156917,0.000156917,0.000156917
65,220.142,0.03448,1,1,0.00136,0.000152789,0.000152789,0.000152789
66,223.4,0.04827,1,1,0.00161,0.00014866,0.00014866,0.00014866
67,226.582,0.06443,1,1,0.00155,0.000144532,0.000144532,0.000144532
68,229.822,0.05854,1,1,0.00189,0.000140404,0.000140404,0.000140404
69,233.02,0.03192,1,1,0.0015,0.000136276,0.000136276,0.000136276
70,236.35,0.0278,1,1,0.00178,0.000132147,0.000132147,0.000132147
71,239.598,0.04628,1,1,0.00124,0.000128019,0.000128019,0.000128019
72,242.819,0.03254,1,1,0.00123,0.000123891,0.000123891,0.000123891
73,246.049,0.05057,1,1,0.00201,0.000119762,0.000119762,0.000119762
74,249.261,0.06052,1,1,0.00131,0.000115634,0.000115634,0.000115634
75,252.475,0.04867,1,1,0.00161,0.000111506,0.000111506,0.000111506
76,255.693,0.07184,1,1,0.00113,0.000107378,0.000107378,0.000107378
77,258.882,0.03316,1,1,0.00126,0.000103249,0.000103249,0.000103249
78,262.108,0.04377,1,1,0.00174,9.91209e-05,9.91209e-05,9.91209e-05
79,265.283,0.03916,1,1,0.0017,9.49926e-05,9.49926e-05,9.49926e-05
80,268.515,0.03514,1,1,0.00124,9.08643e-05,9.08643e-05,9.08643e-05
81,271.728,0.0386,1,1,0.00093,8.6736e-05,8.6736e-05,8.6736e-05
82,274.915,0.05211,1,1,0.00148,8.26077e-05,8.26077e-05,8.26077e-05
83,278.164,0.03417,1,1,0.00119,7.84794e-05,7.84794e-05,7.84794e-05
84,281.335,0.04273,1,1,0.00128,7.43511e-05,7.43511e-05,7.43511e-05
85,284.527,0.05413,1,1,0.00153,7.02228e-05,7.02228e-05,7.02228e-05
86,287.714,0.02064,1,1,0.00153,6.60945e-05,6.60945e-05,6.60945e-05
87,290.859,0.03895,1,1,0.0012,6.19662e-05,6.19662e-05,6.19662e-05
88,294.02,0.0481,1,1,0.00113,5.78379e-05,5.78379e-05,5.78379e-05
89,297.178,0.04278,1,1,0.00111,5.37096e-05,5.37096e-05,5.37096e-05
90,300.363,0.05955,1,1,0.00109,4.95813e-05,4.95813e-05,4.95813e-05
91,303.676,0.02717,1,1,0.00124,4.5453e-05,4.5453e-05,4.5453e-05
92,306.868,0.05121,1,1,0.001,4.13247e-05,4.13247e-05,4.13247e-05
93,310.026,0.05126,1,1,0.00104,3.71964e-05,3.71964e-05,3.71964e-05
94,313.193,0.03079,1,1,0.00099,3.30681e-05,3.30681e-05,3.30681e-05
95,316.391,0.02701,1,1,0.00105,2.89398e-05,2.89398e-05,2.89398e-05
96,319.572,0.0371,1,1,0.00117,2.48115e-05,2.48115e-05,2.48115e-05
97,322.918,0.04132,1,1,0.00102,2.06832e-05,2.06832e-05,2.06832e-05
98,326.1,0.04484,1,1,0.001,1.65549e-05,1.65549e-05,1.65549e-05
99,329.26,0.0246,1,1,0.00118,1.24266e-05,1.24266e-05,1.24266e-05
100,332.436,0.0356,1,1,0.00104,8.2983e-06,8.2983e-06,8.2983e-06
