epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50648,1.44166,3.59439,1.80978,0.00404,0.8,0.16597,0.07454,1.88422,4.62341,2.76656,1.111e-05,1.111e-05,1.111e-05
2,19.0225,1.43258,3.65882,1.87342,0.00468,0.84,0.1757,0.07581,1.75661,4.48461,2.5535,3.26701e-05,3.26701e-05,3.26701e-05
3,28.9486,1.30133,3.63112,1.73923,0.0057,0.88,0.18642,0.08424,1.51428,4.37694,2.25042,5.33502e-05,5.33502e-05,5.33502e-05
4,38.8694,1.25153,3.49806,1.73894,0.6499,0.12,0.19845,0.08962,1.27142,4.22757,1.93312,7.31505e-05,7.31505e-05,7.31505e-05
5,48.9105,1.42074,3.48818,1.92661,0.83305,0.04,0.25407,0.11234,1.12394,4.03417,1.74561,9.20708e-05,9.20708e-05,9.20708e-05
6,58.8206,0.98274,3.14836,1.42316,0.65841,0.0683,0.28988,0.16618,0.99218,3.87159,1.60822,0.000110111,0.000110111,0.000110111
7,68.2331,1.1089,3.21518,1.52951,0.69465,0.20392,0.26611,0.17996,0.87462,3.68323,1.50933,0.000127272,0.000127272,0.000127272
8,77.8297,0.98772,3.27516,1.48721,0.35281,0.48,0.31185,0.20955,0.86543,3.42352,1.47197,0.000143552,0.000143552,0.000143552
9,87.1738,0.9559,3.14094,1.43872,0.3386,0.52427,0.32104,0.22036,0.89659,3.35802,1.47383,0.000158953,0.000158953,0.000158953
10,96.5717,1.00116,2.91524,1.47473,0.3548,0.64991,0.34538,0.25539,0.87764,3.45002,1.45117,0.000173474,0.000173474,0.000173474
11,106.092,1.04908,3.01625,1.5269,0.36839,0.76,0.34218,0.25223,0.8659,3.60439,1.41281,0.000187115,0.000187115,0.000187115
12,115.6,0.94094,2.82828,1.45749,0.37133,0.72,0.33612,0.25628,0.85539,3.75017,1.38843,0.000199876,0.000199876,0.000199876
13,125.157,0.85875,2.80794,1.36182,0.19168,0.77489,0.32529,0.26073,0.83576,3.93129,1.34452,0.000211757,0.000211757,0.000211757
14,135.38,1.09853,2.88588,1.47375,0.40824,0.72,0.31591,0.25239,0.79001,4.08561,1.28479,0.000222758,0.000222758,0.000222758
15,145.143,1.02306,2.66668,1.38061,0.22412,0.72,0.31903,0.25573,0.77598,4.20581,1.25947,0.000232879,0.000232879,0.000232879
16,155.075,1.05285,2.68564,1.51188,0.30905,0.62992,0.32973,0.26767,0.7286,4.08206,1.24156,0.00024212,0.00024212,0.00024212
17,165.717,0.89281,2.67197,1.32076,0.28913,0.71882,0.30561,0.25844,0.72571,4.5433,1.279,0.000250482,0.000250482,0.000250482
18,176.443,0.94664,2.67071,1.42925,0.25561,0.72304,0.32385,0.25853,0.80529,4.89756,1.39033,0.000257963,0.000257963,0.000257963
19,187.069,0.91806,2.55551,1.36158,0.21812,0.79791,0.32997,0.25346,0.86635,4.9748,1.43887,0.000264565,0.000264565,0.000264565
20,197.635,0.95445,2.51743,1.36741,0.2125,0.72,0.27933,0.20966,0.88407,4.34929,1.40531,0.000270286,0.000270286,0.000270286
21,208.288,1.07673,2.60753,1.44699,0.18421,0.86872,0.31522,0.25381,0.80785,3.89626,1.33353,0.000275128,0.000275128,0.000275128
22,218.925,0.91759,2.35901,1.30915,0.18185,0.85196,0.31551,0.25508,0.84076,3.91426,1.376,0.00027909,0.00027909,0.00027909
23,228.352,0.91054,2.45619,1.34164,0.19021,0.76,0.33492,0.27035,0.85898,4.00786,1.40768,0.000282172,0.000282172,0.000282172
24,238.198,1.01575,2.56589,1.42573,0.19745,0.76,0.33796,0.27838,0.81067,4.24056,1.34325,0.000284374,0.000284374,0.000284374
25,247.646,0.86836,2.5419,1.24484,0.19655,0.99842,0.34094,0.28246,0.81914,4.38256,1.35235,0.000285696,0.000285696,0.000285696
26,256.912,0.90312,2.42764,1.29832,0.19345,0.96,0.35628,0.29613,0.81036,4.04529,1.34725,0.000286138,0.000286138,0.000286138
27,267.274,0.92684,2.28253,1.31838,0.18937,0.97471,0.37249,0.30256,0.78386,3.57339,1.30616,0.0002857,0.0002857,0.0002857
28,277.81,0.91084,2.4278,1.31879,0.18937,0.97471,0.37249,0.30256,0.78386,3.57339,1.30616,0.000284383,0.000284383,0.000284383
29,288.762,0.9207,2.30937,1.31967,0.43653,0.67749,0.3758,0.30962,0.7294,3.46954,1.24296,0.000282185,0.000282185,0.000282185
30,298.71,0.86731,2.42839,1.3057,0.21645,0.88,0.37099,0.31901,0.66933,3.69868,1.17903,0.000279108,0.000279108,0.000279108
31,309.269,0.86702,2.42617,1.24241,0.21645,0.88,0.37099,0.31901,0.66933,3.69868,1.17903,0.00027515,0.00027515,0.00027515
32,318.973,0.80698,2.41036,1.30023,0.23487,0.88,0.40266,0.33327,0.6942,4.07174,1.18188,0.000270313,0.000270313,0.000270313
33,328.901,0.72877,2.22096,1.16421,0.26213,0.8384,0.46407,0.37437,0.74347,4.07381,1.2379,0.000264596,0.000264596,0.000264596
34,338.608,0.78642,2.19659,1.18617,0.26213,0.8384,0.46407,0.37437,0.74347,4.07381,1.2379,0.000257999,0.000257999,0.000257999
35,348.228,0.79692,2.29551,1.21062,0.32675,0.74968,0.50449,0.40991,0.70455,3.65818,1.19555,0.000250522,0.000250522,0.000250522
36,358.018,0.85259,2.15603,1.23984,0.36545,0.72,0.47961,0.39354,0.69377,3.4297,1.17351,0.000242165,0.000242165,0.000242165
37,367.17,0.95531,2.28873,1.37079,0.36545,0.72,0.47961,0.39354,0.69377,3.4297,1.17351,0.000232928,0.000232928,0.000232928
38,376.397,0.82257,2.14773,1.25784,0.33256,0.75688,0.49547,0.40015,0.68021,3.26031,1.16237,0.000222811,0.000222811,0.000222811
39,385.556,0.77057,2.31606,1.31811,0.36859,0.82274,0.48375,0.40358,0.62631,3.20944,1.11925,0.000211814,0.000211814,0.000211814
40,394.683,0.79758,2.32791,1.34172,0.36859,0.82274,0.48375,0.40358,0.62631,3.20944,1.11925,0.000199938,0.000199938,0.000199938
41,403.85,0.73335,2.75867,1.28745,0.36133,0.68974,0.53372,0.4409,0.65016,3.05644,1.13766,0.000187181,0.000187181,0.000187181
42,413.051,0.65745,2.69537,1.24007,0.35298,0.72355,0.55259,0.44387,0.81327,2.92533,1.2771,0.000173545,0.000173545,0.000173545
43,422.142,0.69528,2.80634,1.2663,0.35298,0.72355,0.55259,0.44387,0.81327,2.92533,1.2771,0.000159029,0.000159029,0.000159029
44,431.32,0.58419,2.60798,1.1204,0.38166,0.74291,0.60307,0.47057,0.88379,2.82705,1.3429,0.000143632,0.000143632,0.000143632
45,440.442,0.6056,2.58015,1.18332,0.38166,0.74291,0.60307,0.47057,0.88379,2.82705,1.3429,0.000127356,0.000127356,0.000127356
46,449.519,0.70067,2.74207,1.13721,0.38973,0.78556,0.62628,0.51557,0.80899,2.63829,1.27446,0.0001102,0.0001102,0.0001102
47,458.635,0.66584,2.60116,1.25267,0.38973,0.78556,0.62628,0.51557,0.80899,2.63829,1.27446,9.21641e-05,9.21641e-05,9.21641e-05
48,467.742,0.55141,2.51123,1.07766,0.39322,0.78622,0.60358,0.51305,0.70861,2.53187,1.17302,7.32482e-05,7.32482e-05,7.32482e-05
49,476.934,0.57632,2.61584,1.12828,0.39322,0.78622,0.60358,0.51305,0.70861,2.53187,1.17302,5.34524e-05,5.34524e-05,5.34524e-05
50,486.279,0.57856,2.59392,1.21458,0.40763,0.76225,0.62346,0.54125,0.63396,2.47338,1.10896,3.27767e-05,3.27767e-05,3.27767e-05
